PREGUNTA,RESPUESTA,FECHA
Hola,No sé cómo responder a eso.,2025-01-02 16:37:06
comoe stas?,No sé la respuesta a esa pregunta.,2025-01-02 16:37:14
que dice el regalemento acerca del acoso?,"El reglamento establece lo siguiente sobre el acoso:

""Comercial de Valores Inversiones SpA está comprometida en proporcionar un ambiente de trabajo seguro, inclusivo y respetuoso para todos los trabajadores (as), en adelante también colaboradores. Reconocemos la importancia crítica de abordar eficazmente cualquier forma de acoso laboral, acoso sexual o violencia en el trabajo, siendo esencial que todos quienes laboren en la Empresa, se sientan apoyados y seguros al reportar estas conductas inapropiadas.

El siguiente procedimiento de denuncia está diseñado para asegurar que todas las denuncias sean manejadas con seriedad, confidencialidad y profesionalismo. Nuestro objetivo es no solo resolver los problemas de manera efectiva, sino también prevenir la ocurrencia de futuros incidentes, promoviendo.

Las denuncias de acoso sexual, laboral, así como de violencia en el trabajo podrán realizarse a través del siguiente formulario: [enlace al formulario]. Adicionalmente, podrán realizarse, en forma verbal, ante la Gerencia de Administración y Finanzas de la Empresa."" 

Además, se menciona que ""la Empresa no fomenta ni apoya ni difunde ninguna forma de discriminación"" y que ""los trabajadores tienen derecho a denunciar las conductas de acoso y violencia al personal designado para ello.""",2025-01-02 16:37:32
acerca de que te acabo de preguntar anteriormente?,"No sé a qué te refieres con ""lo que me acabas de preguntar anteriormente"". Si tienes una pregunta específica sobre el reglamento interno, por favor, házmela y estaré encantado de ayudarte.",2025-01-02 16:38:05
Hola,"Hola, ¿en qué puedo ayudarte hoy?",2025-01-02 17:07:53
que dice el reglamento acerca del acoso laboral?,"El reglamento establece que Comercial de Valores Inversiones SpA está comprometida en proporcionar un ambiente de trabajo seguro, inclusivo y respetuoso para todos los trabajadores. Reconoce la importancia crítica de abordar eficazmente cualquier forma de acoso laboral, acoso sexual o violencia en el trabajo, siendo esencial que todos quienes laboren en la Empresa se sientan apoyados y seguros al reportar estas conductas inapropiadas.

El procedimiento de denuncia está diseñado para asegurar que todas las denuncias sean manejadas con seriedad, confidencialidad y profesionalismo, con el objetivo de resolver los problemas de manera efectiva y prevenir la ocurrencia de futuros incidentes.

Además, se menciona que la Empresa podrá utilizar la asesoría técnica de un tercero especializado para llevar a cabo el procedimiento de investigación de acoso laboral, sexual y violencia en el trabajo. También se establece que ante denuncias falsas, infundadas o malintencionadas, la Empresa podrá aplicar las disposiciones contenidas en el Reglamento Interno de Orden, Higiene y Seguridad, así como otras normas legales y administrativas aplicables.",2025-01-02 17:08:10
me haces un resumen?,"El Reglamento Interno de Orden, Higiene y Seguridad de Comercial de Valores Inversiones SpA establece normas y procedimientos para garantizar un ambiente de trabajo seguro y respetuoso. Incluye un Protocolo de Prevención de Acoso Laboral, Sexual y Violencia en el Trabajo, así como un procedimiento para la denuncia, investigación y sanción de estas conductas, conforme a la Ley 21.643. La empresa se compromete a no fomentar ninguna forma de discriminación, de acuerdo con la Ley Nº20.069. Además, se asegura que todas las denuncias se manejen con seriedad y confidencialidad, y se proporciona atención psicológica a los denunciantes. El reglamento también detalla las obligaciones y sanciones en materia de higiene y seguridad, cumpliendo con la Ley N°16.744.",2025-01-02 17:08:27
de que trata eso?,"El reglamento interno de Orden, Higiene y Seguridad de Comercial de Valores Inversiones SpA tiene como objetivo dar a conocer las disposiciones generales, obligaciones, prohibiciones y sanciones en materia de higiene y seguridad para los trabajadores. Incluye el Protocolo de Prevención de Acoso Laboral, Sexual y Violencia en el Trabajo, así como el procedimiento de denuncia, investigación y sanción de dichas conductas, de conformidad a la Ley 21.643. Además, establece normas contra la discriminación y el deber de confidencialidad en los procedimientos de investigación.",2025-01-02 17:09:00
Hola,"Hola, ¿en qué puedo ayudarte con respecto al reglamento interno?",2025-01-02 17:55:06
Hola,"Hola, ¿en qué puedo ayudarte con respecto al reglamento interno?",2025-01-02 17:55:41
Hola,"Hola, ¿en qué puedo ayudarte con respecto al reglamento interno?",2025-01-03 11:13:34
Dame un resumen de 5 puntos importantes,"1. **Compromiso de la Empresa**: Comercial de Valores Inversiones SpA se compromete a proporcionar un ambiente de trabajo seguro, inclusivo y respetuoso, abordando eficazmente cualquier forma de acoso laboral, sexual o violencia en el trabajo.

2. **Procedimiento de Denuncia**: El procedimiento de denuncia está diseñado para asegurar que todas las denuncias sean manejadas con seriedad, confidencialidad y profesionalismo, buscando resolver problemas y prevenir futuros incidentes.

3. **Respuesta a Denuncias**: La respuesta de la Empresa se entregará personalmente al reclamante, por correo electrónico o por carta certificada. Si el trabajador no está de acuerdo con la respuesta, puede efectuar una denuncia formal ante la Inspección del Trabajo o el Juzgado del Trabajo correspondiente.

4. **Prohibición de Discriminación**: La Empresa no fomenta ni apoya ninguna forma de discriminación, entendiendo por discriminación arbitraria cualquier distinción o restricción que carezca de justificación razonable y que afecte los derechos fundamentales del trabajador.

5. **Confidencialidad**: Es imperativo para la Empresa mantener la confidencialidad de toda información relacionada con las medidas y decisiones tomadas bajo el procedimiento de investigación de acoso y violencia en el trabajo.",2025-01-03 11:14:18
que fecha es hoy,No sé la respuesta.,2025-01-03 11:14:53
en que punto se menciona algo sobre el canal de denuncias,"El Canal de Denuncias se menciona en el contexto de su objetivo y procedimiento. Se establece que es una herramienta que permite a clientes, proveedores, prestadores de servicio, ejecutivos, colaboradores, directores y otras terceras partes interesadas comunicar inquietudes sobre irregularidades. Además, se detalla que las denuncias pueden ser nominativas o anónimas y deben ser registradas por el Gerente de Compliance Corporativo, quien debe mantener la confidencialidad del registro. También se menciona que el procedimiento aplicable al Canal de Denuncias busca garantizar el anonimato del denunciante, salvo en casos específicos de acoso.",2025-01-03 11:15:27
que dice el reglamento acerca de los robos,No sé. El reglamento interno proporcionado no menciona nada acerca de los robos.,2025-01-03 11:30:13
que pasa si me robo algo de la empresa?,"En caso de robo, hurto, pérdida o destrucción por parte de terceros de bienes de la empresa, por responsabilidad del trabajador, el empleador podrá descontar de la remuneración de éste, el monto de lo robado, hurtado, perdido o dañado.",2025-01-03 11:30:27
y si el trabajador no tiene resonsabilidad?,"Si el trabajador no está de acuerdo con la respuesta del Empleador, podrá efectuar una denuncia formal ante la Inspección del Trabajo o el Juzgado del Trabajo correspondiente.",2025-01-03 11:31:07
que dice el articulo 200?,"Lo siento, no sé qué dice el artículo 200.",2025-01-03 11:31:39
Hola,"No tengo información específica sobre saludos o interacciones informales en el reglamento interno. Si tienes alguna pregunta relacionada con el contenido del reglamento, estaré encantado de ayudarte.",2025-01-03 11:39:40
que dice el articulo 200 del regalemnto?,"**Artículo 200º**  
(Art. 91 D.S. 101).- El recurso de apelación, establecido en el inciso 2º del artículo 77º de la Ley, deberá interponerse directamente ante la Superintendencia y por escrito. El plazo de 30 días hábiles para apelar correrá a partir de la notificación de la resolución dictada por la COMERE. En caso que la notificación se haya practicado mediante el envío de carta certificada, se tendrá como fecha de la notificación el tercer día de Correos.",2025-01-03 11:40:18
lo anterior a que hace referencia?,"Lo anterior hace referencia a las disposiciones y procedimientos establecidos en el Reglamento Interno de Orden, Higiene y Seguridad, específicamente en relación a la gestión de denuncias de acoso sexual, laboral y violencia en el trabajo, así como a las obligaciones de la Empresa en cuanto a la capacitación de los trabajadores sobre riesgos y medidas preventivas, la confidencialidad de la información, y las posibles acciones a tomar en caso de denuncias infundadas o malintencionadas.",2025-01-03 11:41:05
